,Domain,Phylum,Class,Order,Family,Genus,species,FamGenSpASV,PhyOrdFam
ASV786,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,,Bacillales; Bacillaceae; Anoxybacillus; ASV786,Firmicutes; Bacillales; Bacillaceae
ASV787,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,,Gemmatales; Gemmataceae; ASV787,Planctomycetota; Gemmatales; Gemmataceae
ASV788,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia,Nesterenkonia_sp.,Micrococcales; Micrococcaceae; Nesterenkonia; Nesterenkonia_sp.; ASV788,Actinobacteriota; Micrococcales; Micrococcaceae
ASV789,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_12,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_12; ASV789,Firmicutes; Clostridiales; Clostridiaceae
ASV790,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,,Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia; ASV790,Actinobacteriota; Pseudonocardiales; Pseudonocardiaceae
ASV791,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,uncultured_bacterium,Legionellales; Legionellaceae; Legionella; uncultured_bacterium; ASV791,Proteobacteria; Legionellales; Legionellaceae
ASV792,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,,Burkholderiales; Comamonadaceae; Comamonas; ASV792,Proteobacteria; Burkholderiales; Comamonadaceae
ASV793,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,metagenome,Microtrichales; Ilumatobacteraceae; CL500-29_marine_group; metagenome; ASV793,Actinobacteriota; Microtrichales; Ilumatobacteraceae
ASV794,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,,uncultured_bacterium,Isosphaerales; Isosphaeraceae; uncultured_bacterium; ASV794,Planctomycetota; Isosphaerales; Isosphaeraceae
ASV795,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,uncultured_Alphaproteobacteria,Rhizobiales; Beijerinckiaceae; uncultured_Alphaproteobacteria; ASV795,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV796,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,Babeliaceae,uncultured_bacterium,Babeliales; Babeliaceae; Babeliaceae; uncultured_bacterium; ASV796,Dependentiae; Babeliales; Babeliaceae
ASV797,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; ASV797,Actinobacteriota; Bifidobacteriales; Bifidobacteriaceae
ASV798,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,,Flavobacteriales; Flavobacteriaceae; NS5_marine_group; ASV798,Bacteroidota; Flavobacteriales; Flavobacteriaceae
ASV799,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,Gemmata_sp.,Gemmatales; Gemmataceae; Gemmata; Gemmata_sp.; ASV799,Planctomycetota; Gemmatales; Gemmataceae
ASV800,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,uncultured_bacterium,Gemmatales; Gemmataceae; Fimbriiglobus; uncultured_bacterium; ASV800,Planctomycetota; Gemmatales; Gemmataceae
ASV801,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,,uncultured_bacterium,Isosphaerales; Isosphaeraceae; uncultured_bacterium; ASV801,Planctomycetota; Isosphaerales; Isosphaeraceae
ASV802,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,uncultured_bacterium,Isosphaerales; Isosphaeraceae; Tundrisphaera; uncultured_bacterium; ASV802,Planctomycetota; Isosphaerales; Isosphaeraceae
ASV803,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,alphaI_cluster,,Rhizobiales; Beijerinckiaceae; alphaI_cluster; ASV803,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV804,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Phreatobacter,uncultured_bacterium,Rhizobiales; Rhizobiales_Incertae_Sedis; Phreatobacter; uncultured_bacterium; ASV804,Proteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis
ASV805,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus,,Micrococcales; Dermacoccaceae; Dermacoccus; ASV805,Actinobacteriota; Micrococcales; Dermacoccaceae
ASV806,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,Streptosporangiales; Nocardiopsaceae; Nocardiopsis; ASV806,Actinobacteriota; Streptosporangiales; Nocardiopsaceae
ASV807,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Aurantisolimonas,uncultured_bacterium,Chitinophagales; Chitinophagaceae; Aurantisolimonas; uncultured_bacterium; ASV807,Bacteroidota; Chitinophagales; Chitinophagaceae
ASV808,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacterales; Rhodobacteraceae; ASV808,Proteobacteria; Rhodobacterales; Rhodobacteraceae
ASV809,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45,uncultured_Sphaerobacter,Thermomicrobiales; JG30-KF-CM45; JG30-KF-CM45; uncultured_Sphaerobacter; ASV809,Chloroflexi; Thermomicrobiales; JG30-KF-CM45
ASV810,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,Legionellales; Legionellaceae; Legionella; ASV810,Proteobacteria; Legionellales; Legionellaceae
ASV811,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,,Verrucomicrobiales; Rubritaleaceae; Luteolibacter; ASV811,Verrucomicrobiota; Verrucomicrobiales; Rubritaleaceae
ASV812,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Pseudomonadales; Pseudomonadaceae; Pseudomonas; ASV812,Proteobacteria; Pseudomonadales; Pseudomonadaceae
ASV813,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,,Isosphaerales; Isosphaeraceae; Singulisphaera; ASV813,Planctomycetota; Isosphaerales; Isosphaeraceae
ASV814,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,Rhizobiales; Xanthobacteraceae; ASV814,Proteobacteria; Rhizobiales; Xanthobacteraceae
ASV815,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,Paraglaciecola_arctica,Alteromonadales; Alteromonadaceae; Paraglaciecola; Paraglaciecola_arctica; ASV815,Proteobacteria; Alteromonadales; Alteromonadaceae
ASV816,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,,Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia; ASV816,Actinobacteriota; Pseudonocardiales; Pseudonocardiaceae
ASV817,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,uncultured_bacterium,Chthoniobacterales; Chthoniobacteraceae; LD29; uncultured_bacterium; ASV817,Verrucomicrobiota; Chthoniobacterales; Chthoniobacteraceae
ASV818,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,,Gemmatales; Gemmataceae; Gemmata; ASV818,Planctomycetota; Gemmatales; Gemmataceae
ASV819,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,uncultured_bacterium,Gemmatales; Gemmataceae; uncultured_bacterium; ASV819,Planctomycetota; Gemmatales; Gemmataceae
ASV820,Bacteria,Actinobacteriota,Actinobacteria,PeM15,PeM15,PeM15,,PeM15; PeM15; PeM15; ASV820,Actinobacteriota; PeM15; PeM15
ASV821,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,,Acetobacterales; Acetobacteraceae; Roseomonas; ASV821,Proteobacteria; Acetobacterales; Acetobacteraceae
ASV822,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Klenkia,,Frankiales; Geodermatophilaceae; Klenkia; ASV822,Actinobacteriota; Frankiales; Geodermatophilaceae
ASV823,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,Bacillales; Bacillaceae; Bacillus; ASV823,Firmicutes; Bacillales; Bacillaceae
ASV824,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,,,Isosphaerales; Isosphaeraceae; ASV824,Planctomycetota; Isosphaerales; Isosphaeraceae
ASV825,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,,Alicyclobacillales; Alicyclobacillaceae; Alicyclobacillus; ASV825,Firmicutes; Alicyclobacillales; Alicyclobacillaceae
ASV826,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,,Micrococcales; Micrococcaceae; Kocuria; ASV826,Actinobacteriota; Micrococcales; Micrococcaceae
ASV827,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacterales; Rhodobacteraceae; ASV827,Proteobacteria; Rhodobacterales; Rhodobacteraceae
ASV828,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,,,Chlamydiales; Parachlamydiaceae; ASV828,Verrucomicrobiota; Chlamydiales; Parachlamydiaceae
ASV829,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,,,Kineosporiales; Kineosporiaceae; ASV829,Actinobacteriota; Kineosporiales; Kineosporiaceae
ASV830,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,uncultured_bacterium,Gemmatales; Gemmataceae; uncultured_bacterium; ASV830,Planctomycetota; Gemmatales; Gemmataceae
ASV831,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,Sphingomonadales; Sphingomonadaceae; ASV831,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV832,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,,Pirellulales; Pirellulaceae; Pirellula; ASV832,Planctomycetota; Pirellulales; Pirellulaceae
ASV833,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,uncultured_bacterium,Pirellulales; Pirellulaceae; uncultured_bacterium; ASV833,Planctomycetota; Pirellulales; Pirellulaceae
ASV834,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,,Rhizobiales; Xanthobacteraceae; ASV834,Proteobacteria; Rhizobiales; Xanthobacteraceae
ASV835,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella,,Lachnospirales; Lachnospiraceae; Tyzzerella; ASV835,Firmicutes; Lachnospirales; Lachnospiraceae
ASV836,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,ASV836,Proteobacteria
ASV837,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovarius,uncultured_bacterium,Acetobacterales; Acetobacteraceae; Rhodovarius; uncultured_bacterium; ASV837,Proteobacteria; Acetobacterales; Acetobacteraceae
ASV838,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,Sphingomonadales; Sphingomonadaceae; Novosphingobium; ASV838,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV839,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,,Frankiales; Frankiaceae; Jatrophihabitans; ASV839,Actinobacteriota; Frankiales; Frankiaceae
ASV840,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,,Sphingomonadales; Sphingomonadaceae; Novosphingobium; ASV840,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV841,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,uncultured_endolithic,Solirubrobacterales; Solirubrobacteraceae; Conexibacter; uncultured_endolithic; ASV841,Actinobacteriota; Solirubrobacterales; Solirubrobacteraceae
ASV842,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,,,Isosphaerales; Isosphaeraceae; ASV842,Planctomycetota; Isosphaerales; Isosphaeraceae
ASV843,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Phycicoccus,,Micrococcales; Intrasporangiaceae; Phycicoccus; ASV843,Actinobacteriota; Micrococcales; Intrasporangiaceae
ASV844,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,,,uncultured_bacterium,Microtrichales; uncultured_bacterium; ASV844,Actinobacteriota; Microtrichales
ASV845,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,,uncultured_Ktedobacteria,Ktedonobacterales; Ktedonobacteraceae; uncultured_Ktedobacteria; ASV845,Chloroflexi; Ktedonobacterales; Ktedonobacteraceae
ASV846,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,,Propionibacteriales; Nocardioidaceae; Kribbella; ASV846,Actinobacteriota; Propionibacteriales; Nocardioidaceae
ASV847,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,,Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia; ASV847,Actinobacteriota; Pseudonocardiales; Pseudonocardiaceae
ASV848,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,,uncultured_Ktedobacteria,Ktedonobacterales; Ktedonobacteraceae; uncultured_Ktedobacteria; ASV848,Chloroflexi; Ktedonobacterales; Ktedonobacteraceae
ASV849,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Granulicella,,Acidobacteriales; Acidobacteriaceae_(Subgroup_1); Granulicella; ASV849,Acidobacteriota; Acidobacteriales; Acidobacteriaceae_(Subgroup_1)
ASV850,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_3,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_3; ASV850,Firmicutes; Clostridiales; Clostridiaceae
ASV851,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,metagenome,Chlamydiales; Parachlamydiaceae; Neochlamydia; metagenome; ASV851,Verrucomicrobiota; Chlamydiales; Parachlamydiaceae
ASV852,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,uncultured_bacterium,Gemmatales; Gemmataceae; uncultured_bacterium; ASV852,Planctomycetota; Gemmatales; Gemmataceae
ASV853,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,uncultured_bacterium,Gemmatales; Gemmataceae; uncultured_bacterium; ASV853,Planctomycetota; Gemmatales; Gemmataceae
ASV854,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfosporosinus,,Desulfitobacteriales; Desulfitobacteriaceae; Desulfosporosinus; ASV854,Firmicutes; Desulfitobacteriales; Desulfitobacteriaceae
ASV855,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,,Isosphaerales; Isosphaeraceae; Tundrisphaera; ASV855,Planctomycetota; Isosphaerales; Isosphaeraceae
ASV856,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,uncultured_bacterium,Burkholderiales; Comamonadaceae; Schlegelella; uncultured_bacterium; ASV856,Proteobacteria; Burkholderiales; Comamonadaceae
ASV857,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,uncultured_Clostridia,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1; uncultured_Clostridia; ASV857,Firmicutes; Clostridiales; Clostridiaceae
ASV858,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Candidatus_Soleaferrea,uncultured_Firmicutes,Oscillospirales; Ruminococcaceae; Candidatus_Soleaferrea; uncultured_Firmicutes; ASV858,Firmicutes; Oscillospirales; Ruminococcaceae
ASV859,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,Enterobacterales; Enterobacteriaceae; ASV859,Proteobacteria; Enterobacterales; Enterobacteriaceae
ASV860,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,,Gemmatales; Gemmataceae; ASV860,Planctomycetota; Gemmatales; Gemmataceae
ASV861,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,Burkholderiales; Comamonadaceae; ASV861,Proteobacteria; Burkholderiales; Comamonadaceae
ASV862,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,uncultured_cyanobacterium,Chthoniobacterales; Chthoniobacteraceae; Candidatus_Udaeobacter; uncultured_cyanobacterium; ASV862,Verrucomicrobiota; Chthoniobacterales; Chthoniobacteraceae
ASV863,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Microcystis_PCC-7914,,Cyanobacteriales; Microcystaceae; Microcystis_PCC-7914; ASV863,Cyanobacteria; Cyanobacteriales; Microcystaceae
ASV864,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,,Cellvibrionales; Cellvibrionaceae; Cellvibrio; ASV864,Proteobacteria; Cellvibrionales; Cellvibrionaceae
ASV865,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,,Microtrichales; Iamiaceae; Iamia; ASV865,Actinobacteriota; Microtrichales; Iamiaceae
ASV866,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,uncultured_Methylobacterium,Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; uncultured_Methylobacterium; ASV866,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV867,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,uncultured_bacterium,Rhizobiales; uncultured_bacterium; ASV867,Proteobacteria; Rhizobiales
ASV868,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,,Micrococcales; Cellulomonadaceae; Cellulomonas; ASV868,Actinobacteriota; Micrococcales; Cellulomonadaceae
ASV869,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Empedobacter,,Flavobacteriales; Weeksellaceae; Empedobacter; ASV869,Bacteroidota; Flavobacteriales; Weeksellaceae
ASV870,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,,SAR11_clade; Clade_I; Clade_Ia; ASV870,Proteobacteria; SAR11_clade; Clade_I
ASV871,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45,uncultured_bacterium,Thermomicrobiales; JG30-KF-CM45; JG30-KF-CM45; uncultured_bacterium; ASV871,Chloroflexi; Thermomicrobiales; JG30-KF-CM45
ASV872,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus,uncultured_bacterium,Bacillales; Sporolactobacillaceae; Sporolactobacillus; uncultured_bacterium; ASV872,Firmicutes; Bacillales; Sporolactobacillaceae
ASV873,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV873,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV874,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,,Rhizobiales; Hyphomicrobiaceae; Pedomicrobium; ASV874,Proteobacteria; Rhizobiales; Hyphomicrobiaceae
ASV875,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,Deinococcales; Deinococcaceae; Deinococcus; ASV875,Deinococcota; Deinococcales; Deinococcaceae
ASV876,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,UBA12409,uncultured_bacterium,Babeliales; UBA12409; UBA12409; uncultured_bacterium; ASV876,Dependentiae; Babeliales; UBA12409
ASV877,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Qipengyuania,,Sphingomonadales; Sphingomonadaceae; Qipengyuania; ASV877,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV878,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,uncultured_bacterium,Gemmatales; Gemmataceae; uncultured_bacterium; ASV878,Planctomycetota; Gemmatales; Gemmataceae
ASV879,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,,,Actinomycetales_bacterium,Frankiales; Actinomycetales_bacterium; ASV879,Actinobacteriota; Frankiales
ASV880,Bacteria,Firmicutes,Bacilli,Brevibacillales,Brevibacillaceae,Brevibacillus,,Brevibacillales; Brevibacillaceae; Brevibacillus; ASV880,Firmicutes; Brevibacillales; Brevibacillaceae
ASV881,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,,,,Frankiales; ASV881,Actinobacteriota; Frankiales
ASV882,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,,Pseudomonadales; Moraxellaceae; Enhydrobacter; ASV882,Proteobacteria; Pseudomonadales; Moraxellaceae
ASV883,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidiphilium,uncultured_bacterium,Acetobacterales; Acetobacteraceae; Acidiphilium; uncultured_bacterium; ASV883,Proteobacteria; Acetobacterales; Acetobacteraceae
ASV884,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,uncultured_bacterium,Rhizobiales; Hyphomicrobiaceae; Hyphomicrobium; uncultured_bacterium; ASV884,Proteobacteria; Rhizobiales; Hyphomicrobiaceae
ASV885,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,,Bryobacterales; Bryobacteraceae; Bryobacter; ASV885,Acidobacteriota; Bryobacterales; Bryobacteraceae
ASV886,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,uncultured_bacterium,Pirellulales; Pirellulaceae; uncultured_bacterium; ASV886,Planctomycetota; Pirellulales; Pirellulaceae
ASV887,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella,,Lachnospirales; Lachnospiraceae; Tyzzerella; ASV887,Firmicutes; Lachnospirales; Lachnospiraceae
ASV888,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,metagenome,Gemmatales; Gemmataceae; Fimbriiglobus; metagenome; ASV888,Planctomycetota; Gemmatales; Gemmataceae
ASV889,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_13,,Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_13; ASV889,Firmicutes; Clostridiales; Clostridiaceae
ASV890,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,,metagenome,Gemmatales; Gemmataceae; metagenome; ASV890,Planctomycetota; Gemmatales; Gemmataceae
ASV891,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,Propionibacteriales; Nocardioidaceae; Nocardioides; ASV891,Actinobacteriota; Propionibacteriales; Nocardioidaceae
ASV892,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus_Xiphinematobacter,metagenome,Chthoniobacterales; Xiphinematobacteraceae; Candidatus_Xiphinematobacter; metagenome; ASV892,Verrucomicrobiota; Chthoniobacterales; Xiphinematobacteraceae
ASV893,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,,Rhizobiales; Beijerinckiaceae; Bosea; ASV893,Proteobacteria; Rhizobiales; Beijerinckiaceae
ASV894,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,,Burkholderiales; Oxalobacteraceae; Janthinobacterium; ASV894,Proteobacteria; Burkholderiales; Oxalobacteraceae
ASV895,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,,Cytophagales; Cyclobacteriaceae; Algoriphagus; ASV895,Bacteroidota; Cytophagales; Cyclobacteriaceae
ASV896,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,,Phytoplasma_sp.,Solirubrobacterales; Solirubrobacteraceae; Phytoplasma_sp.; ASV896,Actinobacteriota; Solirubrobacterales; Solirubrobacteraceae
ASV897,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter,,Micrococcales; Intrasporangiaceae; Terrabacter; ASV897,Actinobacteriota; Micrococcales; Intrasporangiaceae
ASV898,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,,Paenibacillales; Paenibacillaceae; Paenibacillus; ASV898,Firmicutes; Paenibacillales; Paenibacillaceae
ASV899,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,uncultured_bacterium,Rubrobacterales; Rubrobacteriaceae; Rubrobacter; uncultured_bacterium; ASV899,Actinobacteriota; Rubrobacterales; Rubrobacteriaceae
ASV900,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,Streptomycetales; Streptomycetaceae; Streptomyces; ASV900,Actinobacteriota; Streptomycetales; Streptomycetaceae
ASV901,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,Sphingomonadales; Sphingomonadaceae; Sphingomonas; ASV901,Proteobacteria; Sphingomonadales; Sphingomonadaceae
ASV902,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,Pseudomonadales; Moraxellaceae; Acinetobacter; ASV902,Proteobacteria; Pseudomonadales; Moraxellaceae
ASV903,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,uncultured_bacterium,Solirubrobacterales; Solirubrobacteraceae; Solirubrobacter; uncultured_bacterium; ASV903,Actinobacteriota; Solirubrobacterales; Solirubrobacteraceae
ASV904,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,metagenome,Gemmatales; Gemmataceae; Fimbriiglobus; metagenome; ASV904,Planctomycetota; Gemmatales; Gemmataceae
ASV905,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_timonensis,Bacteroidales; Prevotellaceae; Prevotella; Prevotella_timonensis; ASV905,Bacteroidota; Bacteroidales; Prevotellaceae
